Date,Max,Min,Average,Precipitation
11/1/1948,82,75,78.5,0.67
11/2/1948,81,72,76.5,0.89
11/3/1948,79,75,77,1.42
11/4/1948,83,76,79.5,0.34
11/5/1948,86,76,81,T
11/6/1948,84,76,80,T
11/7/1948,89,76,82.5,0
11/8/1948,86,74,80,1.59
11/9/1948,86,76,81,0
11/10/1948,84,76,80,T
11/11/1948,85,74,79.5,0
11/12/1948,85,77,81,T
11/13/1948,86,74,80,1.61
11/14/1948,82,74,78,1.92
11/15/1948,84,74,79,1.14
11/16/1948,87,79,83,0.08
11/17/1948,86,78,82,T
11/18/1948,86,76,81,0.41
11/19/1948,86,76,81,T
11/20/1948,86,77,81.5,T
11/21/1948,86,76,81,0.09
11/22/1948,85,76,80.5,0.02
11/23/1948,85,74,79.5,0.35
11/24/1948,84,76,80,0.46
11/25/1948,84,75,79.5,0.29
11/26/1948,84,76,80,0.52
11/27/1948,85,76,80.5,0.3
11/28/1948,85,78,81.5,0.14
11/29/1948,84,76,80,0.09
11/30/1948,83,74,78.5,0.23
12/1/1948,84,75,79.5,0.24
12/2/1948,84,75,79.5,0.36
12/3/1948,82,74,78,0.47
12/4/1948,82,69,75.5,1.81
12/5/1948,86,75,80.5,0.61
12/6/1948,84,76,80,0.26
12/7/1948,84,75,79.5,T
12/8/1948,85,75,80,0
12/9/1948,84,75,79.5,0.08
12/10/1948,84,75,79.5,0.03
12/11/1948,85,75,80,0.19
12/12/1948,84,76,80,T
12/13/1948,83,75,79,0.04
12/14/1948,83,73,78,0.21
12/15/1948,83,74,78.5,0.07
12/16/1948,84,75,79.5,T
12/17/1948,85,74,79.5,0
12/18/1948,83,72,77.5,0.04
12/19/1948,84,74,79,0.12
12/20/1948,84,76,80,0.12
12/21/1948,83,75,79,0.1
12/22/1948,84,74,79,0.06
12/23/1948,84,77,80.5,0
12/24/1948,83,76,79.5,T
12/25/1948,84,75,79.5,0.01
12/26/1948,81,75,78,0.46
12/27/1948,84,75,79.5,0.05
12/28/1948,85,75,80,0
12/29/1948,82,74,78,0.08
12/30/1948,84,75,79.5,0.01
12/31/1948,84,74,79,0.01
1/1/1949,84,77,80.5,0
1/2/1949,84,76,80,T
1/3/1949,82,74,78,0.15
1/4/1949,84,74,79,0.13
1/5/1949,84,75,79.5,0.17
1/6/1949,84,74,79,0.2
1/7/1949,84,74,79,0.02
1/8/1949,82,72,77,0.51
1/9/1949,83,75,79,0.02
1/10/1949,84,72,78,0.12
1/11/1949,83,76,79.5,0.03
1/12/1949,82,75,78.5,0.24
1/13/1949,82,74,78,0.12
1/14/1949,82,76,79,0.21
1/15/1949,82,76,79,T
1/16/1949,83,77,80,0
1/17/1949,83,76,79.5,0.02
1/18/1949,83,75,79,0
1/19/1949,84,74,79,0.3
1/20/1949,82,74,78,0
1/21/1949,82,73,77.5,0
1/22/1949,83,74,78.5,0.07
1/23/1949,79,72,75.5,0.61
1/24/1949,83,72,77.5,0.08
1/25/1949,82,74,78,0.01
1/26/1949,84,74,79,0.06
1/27/1949,83,74,78.5,0.16
1/28/1949,83,74,78.5,0.1
1/29/1949,84,74,79,0.1
1/30/1949,82,76,79,0.04
1/31/1949,82,76,79,0
2/1/1949,84,72,78,T
2/2/1949,84,73,78.5,0.1
2/3/1949,84,73,78.5,T
2/4/1949,82,72,77,0.01
2/5/1949,81,72,76.5,0
2/6/1949,82,72,77,T
2/7/1949,84,75,79.5,T
2/8/1949,80,73,76.5,T
2/9/1949,82,74,78,T
2/10/1949,82,72,77,T
2/11/1949,84,73,78.5,0.05
2/12/1949,82,72,77,0.04
2/13/1949,85,75,80,0
2/14/1949,83,74,78.5,0
2/15/1949,81,72,76.5,0.09
2/16/1949,84,73,78.5,0
2/17/1949,85,73,79,0
2/18/1949,83,74,78.5,0.24
2/19/1949,84,75,79.5,0.05
2/20/1949,82,73,77.5,0.11
2/21/1949,83,74,78.5,0.01
2/22/1949,83,70,76.5,0.08
2/23/1949,82,74,78,0.22
2/24/1949,83,72,77.5,0
2/25/1949,83,72,77.5,0
2/26/1949,83,73,78,0.04
2/27/1949,84,75,79.5,0
2/28/1949,83,72,77.5,0.01
3/1/1949,85,74,79.5,0
3/2/1949,85,74,79.5,T
3/3/1949,84,75,79.5,0.01
3/4/1949,85,75,80,0.04
3/5/1949,84,75,79.5,0.12
3/6/1949,84,74,79,0.06
3/7/1949,86,72,79,T
3/8/1949,84,71,77.5,0.25
3/9/1949,84,71,77.5,0.16
3/10/1949,84,74,79,0.03
3/11/1949,85,74,79.5,0.08
3/12/1949,83,74,78.5,0.22
3/13/1949,85,74,79.5,T
3/14/1949,85,72,78.5,T
3/15/1949,86,74,80,T
3/16/1949,82,73,77.5,0.01
3/17/1949,85,72,78.5,0.02
3/18/1949,86,73,79.5,0.01
3/19/1949,86,74,80,0.02
3/20/1949,84,74,79,0.19
3/21/1949,84,74,79,T
3/22/1949,85,73,79,0.34
3/23/1949,85,74,79.5,0.25
3/24/1949,84,72,78,0.01
3/25/1949,86,74,80,0.03
3/26/1949,84,74,79,0.13
3/27/1949,85,76,80.5,0.03
3/28/1949,85,74,79.5,0.13
3/29/1949,84,73,78.5,0.01
3/30/1949,84,76,80,0.21
3/31/1949,85,75,80,0.12
4/1/1949,85,77,81,0.01
4/2/1949,85,75,80,0
4/3/1949,85,74,79.5,T
4/4/1949,85,74,79.5,0.27
4/5/1949,86,73,79.5,0.21
4/6/1949,85,76,80.5,0.03
4/7/1949,85,75,80,0
4/8/1949,85,74,79.5,T
4/9/1949,84,74,79,0.05
4/10/1949,85,74,79.5,0.27
4/11/1949,85,75,80,0.07
4/12/1949,86,77,81.5,T
4/13/1949,86,75,80.5,T
4/14/1949,86,72,79,1
4/15/1949,86,74,80,0.14
4/16/1949,86,73,79.5,0.07
4/17/1949,85,74,79.5,0.02
4/18/1949,87,74,80.5,0.05
4/19/1949,87,77,82,T
4/20/1949,83,73,78,0.14
4/21/1949,86,74,80,0.03
4/22/1949,85,75,80,0.04
4/23/1949,86,77,81.5,0.05
4/24/1949,86,76,81,0.06
4/25/1949,85,76,80.5,0.02
4/26/1949,88,74,81,0.02
4/27/1949,87,75,81,0
4/28/1949,85,74,79.5,0
4/29/1949,85,74,79.5,0
4/30/1949,87,76,81.5,0
5/1/1949,86,76,81,0.01
5/2/1949,85,75,80,0.06
5/3/1949,86,76,81,0.07
5/4/1949,85,74,79.5,0.35
5/5/1949,87,77,82,T
5/6/1949,87,73,80,0.03
5/7/1949,86,73,79.5,0.18
5/8/1949,86,77,81.5,0.03
5/9/1949,86,76,81,T
5/10/1949,86,74,80,0.15
5/11/1949,87,76,81.5,T
5/12/1949,87,75,81,T
5/13/1949,86,74,80,0
5/14/1949,86,74,80,0.01
5/15/1949,87,74,80.5,0
5/16/1949,86,77,81.5,0
5/17/1949,86,76,81,T
5/18/1949,87,74,80.5,0.07
5/19/1949,86,76,81,0.2
5/20/1949,86,77,81.5,0.11
5/21/1949,86,77,81.5,0
5/22/1949,86,75,80.5,T
5/23/1949,86,77,81.5,0
5/24/1949,85,78,81.5,T
5/25/1949,86,77,81.5,0.12
5/26/1949,86,78,82,0
5/27/1949,86,76,81,0.02
5/28/1949,87,75,81,0.18
5/29/1949,87,76,81.5,0.02
5/30/1949,85,75,80,0.06
5/31/1949,87,76,81.5,0
6/1/1949,88,76,82,0.01
6/2/1949,89,76,82.5,0.01
6/3/1949,88,77,82.5,0.03
6/4/1949,87,76,81.5,0
6/5/1949,88,76,82,0
6/6/1949,87,76,81.5,0.02
6/7/1949,87,74,80.5,T
6/8/1949,88,75,81.5,0.08
6/9/1949,82,74,78,1
6/10/1949,85,76,80.5,0.2
